timestamp,type,data
106655,6,TRIAL_START,stiff penalty for staying out late
106666,8,TEXT_CHANGE
106666,8,CTX_POS
106666,8,KEY_POS
106679,1,GAZE
106689,GAZE,-0
106700,GAZE,-0
106710,9,GAZE
106721,7,GAZE
106733,6,GAZE
106745,9,GAZE
106755,1,GAZE
106766,6,GAZE
106778,1,GAZE
106789,GAZE,-0
106799,3,GAZE
106810,8,GAZE
106822,9,GAZE
106832,8,GAZE
106844,2,GAZE
106855,4,GAZE
106866,GAZE,-0
106878,4,GAZE
106889,5,GAZE
106899,6,GAZE
106909,8,GAZE
106921,GAZE,-0
106933,2,GAZE
106943,5,GAZE
106955,3,GAZE
106966,1,GAZE
106978,2,GAZE
106988,1,GAZE
106998,8,GAZE
107011,GAZE,-0
107022,GAZE,-0
107033,1,GAZE
107043,8,GAZE
107054,7,GAZE
107065,6,GAZE
107077,3,GAZE
107089,GAZE,-0
107100,GAZE,-0
107111,5,GAZE
107121,6,GAZE
107132,3,GAZE
107145,1,GAZE
107155,1,GAZE
107166,GAZE,-0
107176,9,GAZE
107187,9,GAZE
107199,1,GAZE
107210,2,GAZE
107221,7,GAZE
107233,4,GAZE
107245,2,GAZE
107255,5,GAZE
107266,5,GAZE
107278,GAZE,-0
107289,1,GAZE
107300,8,GAZE
107311,3,GAZE
107322,7,GAZE
107333,1,GAZE
107344,3,GAZE
107355,6,GAZE
107366,4,GAZE
107379,1,GAZE
107388,6,GAZE
107400,2,GAZE
107411,6,GAZE
107422,4,GAZE
107433,6,GAZE
107444,1,GAZE
107455,1,GAZE
107466,7,GAZE
107477,5,GAZE
107488,4,GAZE
107499,6,GAZE
107512,8,GAZE
107521,5,GAZE
107532,9,GAZE
107544,GAZE,-0
107554,9,GAZE
107566,8,GAZE
107577,1,GAZE
107588,GAZE,-0
107599,2,GAZE
107610,5,GAZE
107622,GAZE,-0
107633,1,GAZE
107645,3,GAZE
107655,3,GAZE
107666,5,GAZE
107677,5,GAZE
107688,8,GAZE
107699,6,GAZE
107712,6,GAZE
107721,6,GAZE
107732,3,GAZE
107743,6,GAZE
107755,6,GAZE
107765,9,GAZE
107777,2,GAZE
107789,3,GAZE
107799,7,GAZE
107810,1,GAZE
107821,4,GAZE
107833,3,GAZE
107844,GAZE,0
107855,GAZE,0
107866,6,GAZE
107877,4,GAZE
107888,8,GAZE
107899,7,GAZE
107911,7,GAZE
107922,5,GAZE
107934,1,GAZE
107944,9,GAZE
107955,9,GAZE
107966,6,GAZE
107977,7,GAZE
107988,9,GAZE
108000,GAZE,0
108011,1,GAZE
108022,3,GAZE
108034,1,GAZE
108045,6,GAZE
108055,5,GAZE
108066,8,GAZE
108078,3,GAZE
108089,1,GAZE
108100,1,GAZE
108112,9,GAZE
108122,2,GAZE
108133,3,GAZE
108144,7,GAZE
108155,5,GAZE
108166,9,GAZE
108178,1,GAZE
108188,4,GAZE
108200,3,GAZE
108211,2,GAZE
108222,GAZE,0
108233,2,GAZE
108245,3,GAZE
108255,2,GAZE
108266,3,GAZE
108277,8,GAZE
108300,2,GAZE
108310,3,GAZE
108320,GAZE,0
108331,4,GAZE
108342,6,GAZE
108353,8,GAZE
108364,9,GAZE
108375,9,GAZE
108387,6,GAZE
108403,6,GAZE
108408,5,GAZE
108419,6,GAZE
108431,6,GAZE
108441,9,GAZE
108453,1,GAZE
108464,5,GAZE
108474,8,GAZE
108486,9,GAZE
108498,4,GAZE
108508,7,GAZE
108522,9,GAZE
108532,4,GAZE
108542,9,GAZE
108553,6,GAZE
108565,2,GAZE
108576,4,GAZE
108587,5,GAZE
108599,GAZE,0
108609,4,GAZE
108620,8,GAZE
108631,9,GAZE
108643,8,GAZE
108655,3,GAZE
108666,7,GAZE
108678,6,GAZE
108688,4,GAZE
108700,1,GAZE
108711,GAZE,0
108723,GAZE,0
108732,6,GAZE
108744,1,GAZE
108754,9,GAZE
108766,2,GAZE
108776,8,GAZE
108788,1,GAZE
108799,8,GAZE
108810,2,GAZE
108821,4,GAZE
108832,9,GAZE
108844,5,GAZE
108855,3,GAZE
108865,8,GAZE
108877,5,GAZE
108888,8,GAZE
108899,6,GAZE
108911,GAZE,0
108921,8,GAZE
108934,1,GAZE
108944,4,GAZE
108955,2,GAZE
108966,GAZE,0
108979,1,GAZE
108988,6,GAZE
108999,8,GAZE
109011,7,GAZE
109022,1,GAZE
109032,5,GAZE
109044,1,GAZE
109055,3,GAZE
109066,1,GAZE
109077,4,GAZE
109088,8,GAZE
109100,2,GAZE
109111,1,GAZE
109122,2,GAZE
109134,8,GAZE
109144,8,GAZE
109155,6,GAZE
109166,8,GAZE
109177,2,GAZE
109188,6,GAZE
109200,1,GAZE
109210,5,GAZE
109221,8,GAZE
109233,GAZE,0
109244,8,GAZE
109255,2,GAZE
