timestamp,type,data
236328.7,TRIAL_START,safe to walk the streets in the evening
236340.3,CTX_POS,Current;0.1551394;2.374337;1.001042;-0.007774354;0.9992942;0.03675105;0.9606043;0.01767372;-0.2773571;0.2778109;-0.03314694;0.9600638
236340.3,KEY_POS,Key_Q;Q;Current;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;Current;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;Current;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;Current;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;Current;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;Current;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;Current;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;Current;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;Current;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;Current;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;Current;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;Current;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;Current;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;Current;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;Current;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;Current;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;Current;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;Current;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;Current;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;Current;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;Current;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;Current;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;Current;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;Current;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;Current;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;Current;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';Current;0.03490747;0.03490747;0.1832642;-0.3665285;Candidate_1;;Current;0.1012317;0.03490747;-0.2373708;-0.1047224;Candidate_2;;Current;0.1012317;0.03490747;-0.1186854;-0.1047224;Candidate_3;;Current;0.1012317;0.03490747;-3.72529E-09;-0.1047224;Candidate_4;;Current;0.1012317;0.03490747;0.1186854;-0.1047224;Candidate_5;;Current;0.1012317;0.03490747;0.2373708;-0.1047224;Backspace;←;Current;0.1012317;0.03490747;0.2373708;-0.1570836;textField;---;Current;1;1;0;-0.03490747;textReference;---;Reference;1;1;0;0.01745374
236350.5,GAZE,-0.06350067;0.03713254;-0.1209483;2.387015;0.03814521;-0.1532675;2.386002;0.04838342;-0.08862913;2.388028;0.027907;-0.07245755;0.2475521;0.9661614;-0.1086846;0.2467103;0.9629754
236362.3,GAZE,-0.06409938;0.0372388;-0.1209394;2.386998;0.03814368;-0.1532592;2.385981;0.04837972;-0.08861971;2.388016;0.02790763;-0.07294699;0.2478547;0.966047;-0.1092677;0.24701;0.9628326
236373.6,GAZE,-0.06456485;0.03711509;-0.1208817;2.386999;0.03813867;-0.1532024;2.385979;0.04837173;-0.08856112;2.388018;0.02790561;-0.07339001;0.2479248;0.9659954;-0.1097043;0.2470806;0.9627649
236384.8,GAZE,-0.06476167;0.03689836;-0.1208715;2.386998;0.03813425;-0.153193;2.385978;0.04836441;-0.08854997;2.388018;0.0279041;-0.07355642;0.2478175;0.9660103;-0.1097396;0.2469785;0.962787
236397.9,GAZE,-0.06492642;0.03682826;-0.120829;2.387011;0.0381537;-0.1531514;2.385993;0.04838111;-0.08850658;2.38803;0.02792629;-0.07369377;0.2477987;0.9660047;-0.1098191;0.2469615;0.9627823
236409.6,GAZE,-0.06523157;0.03684059;-0.1208295;2.387028;0.03815312;-0.1531524;2.386011;0.04837921;-0.08850664;2.388045;0.02792704;-0.07393113;0.2477949;0.9659875;-0.1100224;0.2469574;0.9627602
236417,GAZE,-0.06542154;0.03701978;-0.1208102;2.387044;0.03817162;-0.1531337;2.386028;0.04839566;-0.08848655;2.38806;0.02794757;-0.07407606;0.2478847;0.9659534;-0.1102124;0.2470443;0.9627161
236428.1,GAZE,-0.06600456;0.03735195;-0.1208119;2.387071;0.03816968;-0.1531361;2.386055;0.04839183;-0.0884878;2.388087;0.02794753;-0.07452074;0.2480555;0.9658753;-0.1107955;0.2472081;0.9626071
236439.8,GAZE,-0.06645668;0.03771687;-0.1207945;2.387103;0.03819761;-0.1531197;2.386086;0.04841629;-0.08846933;2.38812;0.02797893;-0.0748595;0.248256;0.9657976;-0.1112575;0.2474024;0.962504
236450.7,GAZE,-0.06688138;0.03801427;-0.1207931;2.387132;0.03819478;-0.1531191;2.386112;0.04841068;-0.08846706;2.388152;0.02797889;-0.07513352;0.2483558;0.9657507;-0.1116228;0.2474963;0.9624375
236462.8,GAZE,-0.06723174;0.03832084;-0.1207907;2.387159;0.03819022;-0.1531177;2.386137;0.04840298;-0.08846378;2.388181;0.02797745;-0.07531504;0.2485036;0.9656985;-0.1119466;0.24764;0.9623629
236473.1,GAZE,-0.0674607;0.03855035;-0.1207989;2.387174;0.03821835;-0.1531268;2.38615;0.04842774;-0.08847094;2.388197;0.02800897;-0.0753695;0.2486083;0.9656673;-0.11211;0.247742;0.9623176
236482.8,GAZE,-0.067816;0.03881359;-0.1207902;2.387103;0.03823676;-0.1531195;2.38608;0.04844216;-0.08846098;2.388126;0.02803136;-0.0754241;0.2488217;0.9656081;-0.112532;0.247947;0.9622156
236494,GAZE,-0.06804907;0.03887092;-0.1207967;2.387097;0.03822573;-0.1531273;2.386075;0.04842675;-0.08846605;2.388118;0.02802471;-0.07543525;0.2487804;0.9656178;-0.1127113;0.2479028;0.962206
236506.3,GAZE,-0.06832113;0.03893586;-0.1208212;2.38709;0.03820966;-0.1531533;2.38607;0.04840625;-0.08848906;2.38811;0.02801306;-0.07546599;0.2487867;0.9656138;-0.112915;0.2479041;0.9621818
236516.3,GAZE,-0.06864993;0.03890565;-0.1208337;2.387085;0.03818658;-0.1531674;2.386066;0.04837811;-0.08849996;2.388104;0.02799505;-0.07557085;0.2486646;0.9656371;-0.1131763;0.2477769;0.9621838
236527.8,GAZE,-0.06914485;0.03881992;-0.1208755;2.387089;0.03817376;-0.1532109;2.386071;0.04836014;-0.08854014;2.388108;0.02798738;-0.07578711;0.2485474;0.9656503;-0.1135683;0.2476517;0.9621699
236540,GAZE,-0.06948444;0.03876557;-0.120892;2.387089;0.03814557;-0.1532289;2.386071;0.04832725;-0.08855522;2.388108;0.02796389;-0.0759009;0.2484454;0.9656676;-0.113798;0.2475447;0.9621702
236551.1,GAZE,-0.06934229;0.03855405;-0.1208569;2.387059;0.03813861;-0.1531949;2.38604;0.04831683;-0.08851898;2.388077;0.02796039;-0.07565373;0.2482142;0.9657465;-0.113569;0.2473161;0.9622561
