timestamp,type,data
2023.808,TRIAL_START,Universally understood to be wrong.
4696.936,CTX_POS,Next;0.6025265;3.184495;2.13658;-0.03269319;0.9925181;-0.1176395;0.993286;0.0191969;-0.1140809;0.110969;0.1205793;0.9864819;Current;0.4915575;3.063916;1.150098;-0.03269319;0.9925181;-0.1176395;0.993286;0.0191969;-0.1140809;0.110969;0.1205793;0.9864819;Previous;0.436073;3.003627;0.6568575;-0.03269319;0.9925181;-0.1176395;0.993286;0.0191969;-0.1140809;0.110969;0.1205793;0.9864819;InactivePrevious;-0.6181327;1.858123;-8.71472;-0.03269319;0.9925181;-0.1176395;0.993286;0.0191969;-0.1140809;0.110969;0.1205793;0.9864819;InactiveNext;0.8244646;3.425654;4.109544;-0.03269319;0.9925181;-0.1176395;0.993286;0.0191969;-0.1140809;0.110969;0.1205793;0.9864819
4696.936,KEY_POS,Key_Q;Q;Next;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;Next;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;Next;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;Next;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;Next;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;Next;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;Next;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;Next;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;Next;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;Next;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;Next;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;Next;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;Next;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;Next;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;Next;0.06451613;0.06451613;0;-0.2387097;Key_H;H;Next;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;Next;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;Next;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;Next;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;Next;0.06451613;0.06451613;-0.3387097;-0.3354839;Key_X;X;Next;0.06451613;0.06451613;-0.2419355;-0.3354839;Key_C;C;Next;0.06451613;0.06451613;-0.1451613;-0.3354839;Key_V;V;Next;0.06451613;0.06451613;-0.04838708;-0.3354839;Key_B;B;Next;0.06451613;0.06451613;0.04838711;-0.3354839;Key_N;N;Next;0.06451613;0.06451613;0.1451613;-0.3354839;Key_M;M;Next;0.06451613;0.06451613;0.2419355;-0.3354839;Key_.;.;Next;0.06451613;0.06451613;0.3387097;-0.3354839;Key_ ; ;Next;0.1935484;0.06451613;0;-0.4322581;Key_Q;Q;Current;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;Current;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;Current;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;Current;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;Current;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;Current;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;Current;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;Current;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;Current;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;Current;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;Current;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;Current;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;Current;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;Current;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;Current;0.06451613;0.06451613;0;-0.2387097;Key_H;H;Current;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;Current;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;Current;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;Current;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;Current;0.06451613;0.06451613;-0.3387097;-0.3354839;Key_X;X;Current;0.06451613;0.06451613;-0.2419355;-0.3354839;Key_C;C;Current;0.06451613;0.06451613;-0.1451613;-0.3354839;Key_V;V;Current;0.06451613;0.06451613;-0.04838708;-0.3354839;Key_B;B;Current;0.06451613;0.06451613;0.04838711;-0.3354839;Key_N;N;Current;0.06451613;0.06451613;0.1451613;-0.3354839;Key_M;M;Current;0.06451613;0.06451613;0.2419355;-0.3354839;Key_.;.;Current;0.06451613;0.06451613;0.3387097;-0.3354839;Key_ ; ;Current;0.1935484;0.06451613;0;-0.4322581;Key_Q;Q;Previous;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;Previous;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;Previous;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;Previous;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;Previous;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;Previous;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;Previous;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;Previous;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;Previous;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;Previous;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;Previous;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;Previous;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;Previous;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;Previous;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;Previous;0.06451613;0.06451613;0;-0.2387097;Key_H;H;Previous;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;Previous;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;Previous;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;Previous;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;Previous;0.06451613;0.06451613;-0.3387097;-0.3354839;Key_X;X;Previous;0.06451613;0.06451613;-0.2419355;-0.3354839;Key_C;C;Previous;0.06451613;0.06451613;-0.1451613;-0.3354839;Key_V;V;Previous;0.06451613;0.06451613;-0.04838708;-0.3354839;Key_B;B;Previous;0.06451613;0.06451613;0.04838711;-0.3354839;Key_N;N;Previous;0.06451613;0.06451613;0.1451613;-0.3354839;Key_M;M;Previous;0.06451613;0.06451613;0.2419355;-0.3354839;Key_.;.;Previous;0.06451613;0.06451613;0.3387097;-0.3354839;Key_ ; ;Previous;0.1935484;0.06451613;0;-0.4322581;Key_Q;Q;InactivePrevious;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;InactivePrevious;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;InactivePrevious;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;InactivePrevious;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;InactivePrevious;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;InactivePrevious;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;InactivePrevious;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;InactivePrevious;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;InactivePrevious;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;InactivePrevious;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;InactivePrevious;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;InactivePrevious;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;InactivePrevious;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;InactivePrevious;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;InactivePrevious;0.06451613;0.06451613;0;-0.2387097;Key_H;H;InactivePrevious;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;InactivePrevious;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;InactivePrevious;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;InactivePrevious;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;InactivePrevious;0.06451613;0.06451613;-0.3387097;-0.3354839;Key_X;X;InactivePrevious;0.06451613;0.06451613;-0.2419355;-0.3354839;Key_C;C;InactivePrevious;0.06451613;0.06451613;-0.1451613;-0.3354839;Key_V;V;InactivePrevious;0.06451613;0.06451613;-0.04838708;-0.3354839;Key_B;B;InactivePrevious;0.06451613;0.06451613;0.04838711;-0.3354839;Key_N;N;InactivePrevious;0.06451613;0.06451613;0.1451613;-0.3354839;Key_M;M;InactivePrevious;0.06451613;0.06451613;0.2419355;-0.3354839;Key_.;.;InactivePrevious;0.06451613;0.06451613;0.3387097;-0.3354839;Key_ ; ;InactivePrevious;0.1935484;0.06451613;0;-0.4322581;Key_Q;Q;InactiveNext;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;InactiveNext;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;InactiveNext;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;InactiveNext;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;InactiveNext;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;InactiveNext;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;InactiveNext;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;InactiveNext;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;InactiveNext;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;InactiveNext;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;InactiveNext;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;InactiveNext;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;InactiveNext;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;InactiveNext;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;InactiveNext;0.06451613;0.06451613;0;-0.2387097;Key_H;H;InactiveNext;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;InactiveNext;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;InactiveNext;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;InactiveNext;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;InactiveNext;0.06451613;0.06451613;-0.3387097;-0.3354839;Key_X;X;InactiveNext;0.06451613;0.06451613;-0.2419355;-0.3354839;Key_C;C;InactiveNext;0.06451613;0.06451613;-0.1451613;-0.3354839;Key_V;V;InactiveNext;0.06451613;0.06451613;-0.04838708;-0.3354839;Key_B;B;InactiveNext;0.06451613;0.06451613;0.04838711;-0.3354839;Key_N;N;InactiveNext;0.06451613;0.06451613;0.1451613;-0.3354839;Key_M;M;InactiveNext;0.06451613;0.06451613;0.2419355;-0.3354839;Key_.;.;InactiveNext;0.06451613;0.06451613;0.3387097;-0.3354839;Key_ ; ;InactiveNext;0.1935484;0.06451613;0;-0.4322581
4724.45,CTX_POS,Next;0.6017293;3.177579;2.137573;-0.0322723;0.9929129;-0.114378;0.9933467;0.01920614;-0.1135494;0.110548;0.1172815;0.9869267;Current;0.4911813;3.060297;1.150646;-0.0322723;0.9929129;-0.114378;0.9933467;0.01920614;-0.1135494;0.110548;0.1172815;0.9869267;Previous;0.4359074;3.001657;0.6571825;-0.0322723;0.9929129;-0.114378;0.9933467;0.01920614;-0.1135494;0.110548;0.1172815;0.9869267;InactivePrevious;-0.6142981;1.887483;-8.71862;-0.0322723;0.9929129;-0.114378;0.9933467;0.01920614;-0.1135494;0.110548;0.1172815;0.9869267;InactiveNext;0.8228252;3.412142;4.111426;-0.0322723;0.9929129;-0.114378;0.9933467;0.01920614;-0.1135494;0.110548;0.1172815;0.9869267
4724.45,GAZE,0.006223841;-0.1825443;0.5176584;2.919317;1.341472;0.3394844;2.799455;0.5133818;0.5594031;2.658875;0.5531278;0.1961494;0.3419844;0.919006;-0.04408125;0.09816216;0.9941937
4754.119,CTX_POS,Next;0.6022154;3.173741;2.137941;-0.03132609;0.9931374;-0.1126805;0.9933476;0.01843592;-0.1136691;0.1108117;0.1154917;0.9871081;Current;0.4914037;3.05825;1.150833;-0.03132609;0.9931374;-0.1126805;0.9933476;0.01843592;-0.1136691;0.1108117;0.1154917;0.9871081;Previous;0.4359979;3.000504;0.6572791;-0.03132609;0.9931374;-0.1126805;0.9933476;0.01843592;-0.1136691;0.1108117;0.1154917;0.9871081;InactivePrevious;-0.6167133;1.903333;-8.720248;-0.03132609;0.9931374;-0.1126805;0.9933476;0.01843592;-0.1136691;0.1108117;0.1154917;0.9871081;InactiveNext;0.8238388;3.404725;4.112158;-0.03132609;0.9931374;-0.1126805;0.9933476;0.01843592;-0.1136691;0.1108117;0.1154917;0.9871081
4754.119,GAZE,0.007253959;-0.1822212;0.5182047;2.915333;1.333863;0.3409791;2.800153;0.5141116;0.5593386;2.658899;0.5530727;0.1975903;0.3368979;0.9205748;-0.04411231;0.09804159;0.9942042
4765.56,CTX_POS,Next;0.6018822;3.169664;2.138497;-0.03072204;0.993365;-0.1108247;0.9933863;0.01807248;-0.1133889;0.1106336;0.1135752;0.9873504;Current;0.4912485;3.056089;1.151146;-0.03072204;0.993365;-0.1108247;0.9933863;0.01807248;-0.1133889;0.1106336;0.1135752;0.9873504;Previous;0.4359317;2.999301;0.6574712;-0.03072204;0.993365;-0.1108247;0.9933863;0.01807248;-0.1133889;0.1106336;0.1135752;0.9873504;InactivePrevious;-0.6150879;1.920337;-8.722359;-0.03072204;0.993365;-0.1108247;0.9933863;0.01807248;-0.1133889;0.1106336;0.1135752;0.9873504;InactiveNext;0.8231495;3.396815;4.113198;-0.03072204;0.993365;-0.1108247;0.9933863;0.01807248;-0.1133889;0.1106336;0.1135752;0.9873504
4765.56,GAZE,0.007746305;-0.1807173;0.5183904;2.914436;1.333492;0.341265;2.800181;0.5143608;0.5593252;2.658926;0.5530461;0.1978048;0.3351493;0.9211668;-0.04407608;0.09804506;0.9942054
4779.274,CTX_POS,Next;0.6017345;3.167907;2.138739;-0.0306511;0.9934572;-0.110015;0.9933991;0.01810565;-0.1132717;0.1105387;0.1127607;0.9874544;Current;0.4911958;3.055146;1.151284;-0.0306511;0.9934572;-0.110015;0.9933991;0.01810565;-0.1132717;0.1105387;0.1127607;0.9874544;Previous;0.4359265;2.998766;0.6575572;-0.0306511;0.9934572;-0.110015;0.9933991;0.01810565;-0.1132717;0.1105387;0.1127607;0.9874544;InactivePrevious;-0.6141914;1.927539;-8.72326;-0.0306511;0.9934572;-0.110015;0.9933991;0.01810565;-0.1132717;0.1105387;0.1127607;0.9874544;InactiveNext;0.822812;3.393428;4.113647;-0.0306511;0.9934572;-0.110015;0.9933991;0.01810565;-0.1132717;0.1105387;0.1127607;0.9874544
