timestamp,type,data
70646.92,TRIAL_START,Where did you get such a silly idea.
70758.65,CTX_POS,Next;1.234308;2.907515;1.886408;-0.01033356;0.9997108;-0.02171506;0.9301418;0.001638451;-0.3671969;0.3670551;0.02399254;0.9298897;Current;0.8672531;2.883523;0.9565179;-0.01033356;0.9997108;-0.02171506;0.9301418;0.001638451;-0.3671969;0.3670551;0.02399254;0.9298897;Previous;0.6837255;2.871526;0.4915731;-0.01033356;0.9997108;-0.02171506;0.9301418;0.001638451;-0.3671969;0.3670551;0.02399254;0.9298897;InactivePrevious;-2.803298;2.643597;-8.34238;-0.01033356;0.9997108;-0.02171506;0.9301418;0.001638451;-0.3671969;0.3670551;0.02399254;0.9298897;InactiveNext;-2.803298;2.643597;-8.34238;-0.01033356;0.9997108;-0.02171506;0.9301418;0.001638451;-0.3671969;0.3670551;0.02399254;0.9298897
70758.65,KEY_POS,Key_Q;Q;Next;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;Next;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;Next;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;Next;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;Next;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;Next;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;Next;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;Next;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;Next;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;Next;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;Next;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;Next;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;Next;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;Next;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;Next;0.06451613;0.06451613;0;-0.2387097;Key_H;H;Next;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;Next;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;Next;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;Next;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;Next;0.06451613;0.06451613;-0.3870968;-0.3354839;Key_X;X;Next;0.06451613;0.06451613;-0.2903226;-0.3354839;Key_C;C;Next;0.06451613;0.06451613;-0.1935484;-0.3354839;Key_V;V;Next;0.06451613;0.06451613;-0.09677419;-0.3354839;Key_B;B;Next;0.06451613;0.06451613;0;-0.3354839;Key_N;N;Next;0.06451613;0.06451613;0.09677419;-0.3354839;Key_M;M;Next;0.06451613;0.06451613;0.1935484;-0.3354839;Key_';';Next;0.06451613;0.06451613;0.2903226;-0.3354839;Key_.;.;Next;0.06451613;0.06451613;0.3870968;-0.3354839;Candidate_1;;Next;0.2129032;0.06451613;-0.4258064;0.2;Candidate_2;;Next;0.2129032;0.06451613;-0.1806452;0.2;Candidate_3;;Next;0.2129032;0.06451613;0.06451613;0.2;Candidate_4;;Next;0.2129032;0.06451613;0.3096774;0.2;Candidate_5;;Next;0.2129032;0.06451613;0.5548387;0.2;Key_Q;Q;Current;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;Current;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;Current;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;Current;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;Current;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;Current;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;Current;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;Current;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;Current;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;Current;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;Current;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;Current;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;Current;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;Current;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;Current;0.06451613;0.06451613;0;-0.2387097;Key_H;H;Current;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;Current;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;Current;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;Current;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;Current;0.06451613;0.06451613;-0.3870968;-0.3354839;Key_X;X;Current;0.06451613;0.06451613;-0.2903226;-0.3354839;Key_C;C;Current;0.06451613;0.06451613;-0.1935484;-0.3354839;Key_V;V;Current;0.06451613;0.06451613;-0.09677419;-0.3354839;Key_B;B;Current;0.06451613;0.06451613;0;-0.3354839;Key_N;N;Current;0.06451613;0.06451613;0.09677419;-0.3354839;Key_M;M;Current;0.06451613;0.06451613;0.1935484;-0.3354839;Key_';';Current;0.06451613;0.06451613;0.2903226;-0.3354839;Key_.;.;Current;0.06451613;0.06451613;0.3870968;-0.3354839;Candidate_1;;Current;0.2129032;0.06451613;-0.4258064;0.2;Candidate_2;;Current;0.2129032;0.06451613;-0.1806452;0.2;Candidate_3;;Current;0.2129032;0.06451613;0.06451613;0.2;Candidate_4;;Current;0.2129032;0.06451613;0.3096774;0.2;Candidate_5;;Current;0.2129032;0.06451613;0.5548387;0.2;Key_Q;Q;Previous;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;Previous;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;Previous;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;Previous;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;Previous;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;Previous;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;Previous;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;Previous;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;Previous;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;Previous;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;Previous;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;Previous;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;Previous;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;Previous;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;Previous;0.06451613;0.06451613;0;-0.2387097;Key_H;H;Previous;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;Previous;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;Previous;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;Previous;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;Previous;0.06451613;0.06451613;-0.3870968;-0.3354839;Key_X;X;Previous;0.06451613;0.06451613;-0.2903226;-0.3354839;Key_C;C;Previous;0.06451613;0.06451613;-0.1935484;-0.3354839;Key_V;V;Previous;0.06451613;0.06451613;-0.09677419;-0.3354839;Key_B;B;Previous;0.06451613;0.06451613;0;-0.3354839;Key_N;N;Previous;0.06451613;0.06451613;0.09677419;-0.3354839;Key_M;M;Previous;0.06451613;0.06451613;0.1935484;-0.3354839;Key_';';Previous;0.06451613;0.06451613;0.2903226;-0.3354839;Key_.;.;Previous;0.06451613;0.06451613;0.3870968;-0.3354839;Candidate_1;;Previous;0.2129032;0.06451613;-0.4258064;0.2;Candidate_2;;Previous;0.2129032;0.06451613;-0.1806452;0.2;Candidate_3;;Previous;0.2129032;0.06451613;0.06451613;0.2;Candidate_4;;Previous;0.2129032;0.06451613;0.3096774;0.2;Candidate_5;;Previous;0.2129032;0.06451613;0.5548387;0.2;Key_Q;Q;InactivePrevious;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;InactivePrevious;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;InactivePrevious;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;InactivePrevious;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;InactivePrevious;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;InactivePrevious;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;InactivePrevious;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;InactivePrevious;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;InactivePrevious;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;InactivePrevious;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;InactivePrevious;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;InactivePrevious;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;InactivePrevious;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;InactivePrevious;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;InactivePrevious;0.06451613;0.06451613;0;-0.2387097;Key_H;H;InactivePrevious;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;InactivePrevious;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;InactivePrevious;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;InactivePrevious;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;InactivePrevious;0.06451613;0.06451613;-0.3870968;-0.3354839;Key_X;X;InactivePrevious;0.06451613;0.06451613;-0.2903226;-0.3354839;Key_C;C;InactivePrevious;0.06451613;0.06451613;-0.1935484;-0.3354839;Key_V;V;InactivePrevious;0.06451613;0.06451613;-0.09677419;-0.3354839;Key_B;B;InactivePrevious;0.06451613;0.06451613;0;-0.3354839;Key_N;N;InactivePrevious;0.06451613;0.06451613;0.09677419;-0.3354839;Key_M;M;InactivePrevious;0.06451613;0.06451613;0.1935484;-0.3354839;Key_';';InactivePrevious;0.06451613;0.06451613;0.2903226;-0.3354839;Key_.;.;InactivePrevious;0.06451613;0.06451613;0.3870968;-0.3354839;Candidate_1;;InactivePrevious;0.2129032;0.06451613;-0.4258064;0.2;Candidate_2;;InactivePrevious;0.2129032;0.06451613;-0.1806452;0.2;Candidate_3;;InactivePrevious;0.2129032;0.06451613;0.06451613;0.2;Candidate_4;;InactivePrevious;0.2129032;0.06451613;0.3096774;0.2;Candidate_5;;InactivePrevious;0.2129032;0.06451613;0.5548387;0.2;Key_Q;Q;InactiveNext;0.06451613;0.06451613;-0.4354839;-0.1419355;Key_W;W;InactiveNext;0.06451613;0.06451613;-0.3387097;-0.1419355;Key_E;E;InactiveNext;0.06451613;0.06451613;-0.2419355;-0.1419355;Key_R;R;InactiveNext;0.06451613;0.06451613;-0.1451613;-0.1419355;Key_T;T;InactiveNext;0.06451613;0.06451613;-0.04838711;-0.1419355;Key_Y;Y;InactiveNext;0.06451613;0.06451613;0.04838708;-0.1419355;Key_U;U;InactiveNext;0.06451613;0.06451613;0.1451613;-0.1419355;Key_I;I;InactiveNext;0.06451613;0.06451613;0.2419355;-0.1419355;Key_O;O;InactiveNext;0.06451613;0.06451613;0.3387097;-0.1419355;Key_P;P;InactiveNext;0.06451613;0.06451613;0.4354838;-0.1419355;Key_A;A;InactiveNext;0.06451613;0.06451613;-0.3870968;-0.2387097;Key_S;S;InactiveNext;0.06451613;0.06451613;-0.2903226;-0.2387097;Key_D;D;InactiveNext;0.06451613;0.06451613;-0.1935484;-0.2387097;Key_F;F;InactiveNext;0.06451613;0.06451613;-0.09677419;-0.2387097;Key_G;G;InactiveNext;0.06451613;0.06451613;0;-0.2387097;Key_H;H;InactiveNext;0.06451613;0.06451613;0.09677419;-0.2387097;Key_J;J;InactiveNext;0.06451613;0.06451613;0.1935484;-0.2387097;Key_K;K;InactiveNext;0.06451613;0.06451613;0.2903226;-0.2387097;Key_L;L;InactiveNext;0.06451613;0.06451613;0.3870968;-0.2387097;Key_Z;Z;InactiveNext;0.06451613;0.06451613;-0.3870968;-0.3354839;Key_X;X;InactiveNext;0.06451613;0.06451613;-0.2903226;-0.3354839;Key_C;C;InactiveNext;0.06451613;0.06451613;-0.1935484;-0.3354839;Key_V;V;InactiveNext;0.06451613;0.06451613;-0.09677419;-0.3354839;Key_B;B;InactiveNext;0.06451613;0.06451613;0;-0.3354839;Key_N;N;InactiveNext;0.06451613;0.06451613;0.09677419;-0.3354839;Key_M;M;InactiveNext;0.06451613;0.06451613;0.1935484;-0.3354839;Key_';';InactiveNext;0.06451613;0.06451613;0.2903226;-0.3354839;Key_.;.;InactiveNext;0.06451613;0.06451613;0.3870968;-0.3354839;Candidate_1;;InactiveNext;0.2129032;0.06451613;-0.4258064;0.2;Candidate_2;;InactiveNext;0.2129032;0.06451613;-0.1806452;0.2;Candidate_3;;InactiveNext;0.2129032;0.06451613;0.06451613;0.2;Candidate_4;;InactiveNext;0.2129032;0.06451613;0.3096774;0.2;Candidate_5;;InactiveNext;0.2129032;0.06451613;0.5548387;0.2
70772.84,GAZE,0.3648995;-0.3296892;1.210068;2.554527;0.8296871;0.4464839;2.868457;0.02007643;0.5413525;2.86833;-0.01154559;0.3152878;0.0806199;0.9455655;0.3152878;0.0806199;0.9455655
70786.31,GAZE,0.3647045;-0.3296633;1.209887;2.554552;0.8297582;0.4463743;2.86848;0.02015558;0.5412974;2.868364;-0.01130226;0.3136414;0.08071519;0.9461047;0.3136414;0.08071519;0.9461047
70800.34,GAZE,0.3641362;-0.3305145;1.209367;2.5537;0.8299854;0.4462371;2.868496;0.02022599;0.5412186;2.868359;-0.01105467;0.3118831;0.08108688;0.946654;0.3118831;0.08108688;0.946654
70814.46,GAZE,0.3642069;-0.3313965;1.209442;2.552819;0.8299786;0.4460933;2.868526;0.02031426;0.5411209;2.868347;-0.01082592;0.310515;0.08108961;0.9471034;0.310515;0.08108961;0.9471034
70828.41,GAZE,0.3641282;-0.3320215;1.209375;2.552194;0.830021;0.4459547;2.868547;0.02036149;0.5410463;2.868359;-0.01058314;0.3085662;0.08136757;0.9477163;0.3085662;0.08136757;0.9477163
70842.15,GAZE,0.3655321;-0.3331526;1.210692;2.551065;0.8295301;0.4458166;2.868552;0.02043553;0.5409565;2.868352;-0.01036002;0.3070931;0.08123091;0.9482064;0.3070931;0.08123091;0.9482064
70860.12,GAZE,0.3662267;-0.3326464;1.211333;2.551573;0.8292641;0.4456874;2.86855;0.02048981;0.5408867;2.868346;-0.01012135;0.3052624;0.08104288;0.9488134;0.3052624;0.08104288;0.9488134
70869.84,GAZE,0.3668462;-0.3334745;1.211918;2.550746;0.8290545;0.4455254;2.868552;0.02053776;0.5407805;2.86834;-0.009899378;0.3035389;0.0808581;0.9493819;0.3035389;0.0808581;0.9493819
70883.66,GAZE,0.3656087;-0.3324007;1.210756;2.551817;0.8294857;0.445368;2.868556;0.02057441;0.5406827;2.868331;-0.009675406;0.3016836;0.0807824;0.9499796;0.3016836;0.0807824;0.9499796
70897.77,GAZE,0.3660412;-0.3328295;1.211163;2.551389;0.8293361;0.4451902;2.868453;0.02057053;0.5405563;2.868208;-0.009516731;0.3001003;0.0797893;0.9505648;0.3001003;0.0797893;0.9505648
70911.69,GAZE,0.3660165;-0.3332175;1.211144;2.551001;0.8293536;0.445014;2.868337;0.0205523;0.5404304;2.868104;-0.00937508;0.298509;0.07925285;0.9511106;0.298509;0.07925285;0.9511106
70925.75,GAZE,0.366698;-0.3327066;1.211772;2.551513;0.8290923;0.4447819;2.868203;0.02052638;0.5402585;2.867985;-0.009208918;0.2965998;0.07849495;0.9517705;0.2965998;0.07849495;0.9517705
70939.66,GAZE,0.3668698;-0.3319831;1.211925;2.552237;0.8290136;0.4445697;2.868109;0.02052027;0.5400901;2.867868;-0.009073839;0.2952208;0.07796378;0.9522428;0.2952208;0.07796378;0.9522428
70953.23,GAZE,0.3669158;-0.3318951;1.211966;2.552325;0.8289946;0.4443595;2.868012;0.02045481;0.5399179;2.867771;-0.00901594;0.2940008;0.07748961;0.9526588;0.2940008;0.07748961;0.9526588
70966.96,GAZE,0.3671637;-0.3330296;1.212209;2.551191;0.8289284;0.4441762;2.867939;0.02039203;0.5397694;2.867721;-0.008965962;0.2928663;0.07714754;0.953036;0.2928663;0.07714754;0.953036
70981.41,GAZE,0.3672155;-0.3321751;1.212248;2.552045;0.8288909;0.4440074;2.867875;0.020338;0.5396372;2.867662;-0.008900687;0.2916751;0.07706062;0.9534082;0.2916751;0.07706062;0.9534082
70995.4,GAZE,0.3672239;-0.3317223;1.212251;2.552498;0.8288779;0.4438435;2.867854;0.02028829;0.5395008;2.867651;-0.008860163;0.2907725;0.07682225;0.9537032;0.2907725;0.07682225;0.9537032
71011.33,GAZE,0.3661368;-0.3311457;1.211234;2.553073;0.8292645;0.4436766;2.867866;0.02021716;0.5393509;2.867661;-0.008875392;0.2902143;0.07694818;0.953863;0.2902143;0.07694818;0.953863
71031.13,GAZE,0.3660212;-0.3312965;1.211128;2.552922;0.8293102;0.4434936;2.867887;0.02008842;0.5391857;2.867706;-0.008945875;0.2896094;0.07725958;0.9540217;0.2896094;0.07725958;0.9540217
71037.6,GAZE,0.3660851;-0.3307445;1.211182;2.553474;0.8292748;0.4433151;2.867879;0.02000692;0.5390329;2.867683;-0.008942559;0.2887742;0.07729156;0.9542722;0.2887742;0.07729156;0.9542722
71050.07,GAZE,0.3668947;-0.3299953;1.211927;2.554224;0.8289612;0.4431457;2.867893;0.01989917;0.5388865;2.867722;-0.008974113;0.2879884;0.07768155;0.954478;0.2879884;0.07768155;0.954478
71064.47,GAZE,0.3670453;-0.3300285;1.212068;2.554191;0.8289067;0.4429621;2.867914;0.01980288;0.5387192;2.867765;-0.009016313;0.2874188;0.07830822;0.9545985;0.2874188;0.07830822;0.9545985
71078.96,GAZE,0.3665521;-0.3298068;1.211607;2.554412;0.829083;0.4428024;2.867948;0.01970308;0.5385798;2.867855;-0.009048983;0.2866932;0.07895087;0.9547637;0.2866932;0.07895087;0.9547637
71092.65,GAZE,0.3670906;-0.3295776;1.212105;2.554642;0.8288801;0.4426548;2.868047;0.01963774;0.5384461;2.867939;-0.009068049;0.286223;0.07989714;0.9548261;0.286223;0.07989714;0.9548261
71106.43,GAZE,0.3667617;-0.3295529;1.211799;2.554666;0.8290005;0.4425188;2.868134;0.01957879;0.5383281;2.868043;-0.009066962;0.285598;0.0805304;0.95496;0.285598;0.0805304;0.95496
71120.55,GAZE,0.365701;-0.3296909;1.210814;2.554526;0.8293929;0.4424156;2.868264;0.0195353;0.5382463;2.868217;-0.009038649;0.2848289;0.08138171;0.9551175;0.2848289;0.08138171;0.9551175
71134.37,GAZE,0.3652373;-0.3289375;1.210375;2.555279;0.8295467;0.4423291;2.868382;0.01951083;0.5381785;2.868357;-0.009000368;0.2841663;0.08225665;0.95524;0.2841663;0.08225665;0.95524
71148.24,GAZE,0.3642327;-0.3281951;1.209433;2.556019;0.8298996;0.442277;2.868495;0.01949057;0.5381549;2.868499;-0.008924738;0.2831683;0.08305235;0.9554675;0.2831683;0.08305235;0.9554675
71162.53,GAZE,0.3645231;-0.3285734;1.209707;2.555642;0.8298011;0.4421794;2.868592;0.01948819;0.5380642;2.868554;-0.008903682;0.2829579;0.08346861;0.9554935;0.2829579;0.08346861;0.9554935
71176.2,GAZE,0.3637007;-0.3285789;1.208942;2.555635;0.8301033;0.4421403;2.868649;0.01945879;0.5380582;2.868605;-0.008821294;0.2818433;0.08372888;0.9558001;0.2818433;0.08372888;0.9558001
71190.05,GAZE,0.3630963;-0.3282107;1.208376;2.556002;0.8303172;0.4420595;2.868709;0.0194739;0.5379894;2.868597;-0.008765139;0.281494;0.08351311;0.9559219;0.281494;0.08351311;0.9559219
71203.84,GAZE,0.3633298;-0.327431;1.208585;2.556782;0.8302145;0.4419993;2.868765;0.01948543;0.5379473;2.86861;-0.008691922;0.2809181;0.08332457;0.9561077;0.2809181;0.08332457;0.9561077
71217.78,GAZE,0.3643008;-0.3276128;1.20949;2.556602;0.8298619;0.4419757;2.868797;0.01950142;0.53794;2.868653;-0.008620419;0.2803544;0.083385;0.956268;0.2803544;0.083385;0.956268
71232.13,GAZE,0.3649327;-0.328181;1.210083;2.556035;0.8296422;0.4419923;2.868819;0.01951727;0.5379734;2.868665;-0.008546866;0.2797887;0.08331903;0.9564394;0.2797887;0.08331903;0.9564394
71245.75,GAZE,0.3649879;-0.3270922;1.210124;2.557123;0.8295982;0.4420292;2.868803;0.0195666;0.5380132;2.86868;-0.008488029;0.2796703;0.08326669;0.9564785;0.2796703;0.08326669;0.9564785
71259.41,GAZE,0.3650733;-0.3266867;1.210199;2.557529;0.8295582;0.4421066;2.868816;0.01962838;0.5380919;2.868627;-0.008421503;0.2796861;0.08283278;0.9565116;0.2796861;0.08283278;0.9565116
71273.28,GAZE,0.3655226;-0.3276847;1.210627;2.556532;0.8294149;0.4422544;2.868765;0.01970214;0.5382344;2.868574;-0.00836584;0.2798715;0.08266107;0.9564722;0.2798715;0.08266107;0.9564722
71287.27,GAZE,0.3663182;-0.3267886;1.211358;2.557429;0.8291032;0.4423574;2.868742;0.01977597;0.5383295;2.868509;-0.008318588;0.2801817;0.08208886;0.9564307;0.2801817;0.08208886;0.9564307
71301.03,GAZE,0.3660893;-0.326327;1.21114;2.55789;0.8291773;0.4424527;2.868721;0.01985935;0.5384134;2.868444;-0.008273661;0.2806054;0.0817985;0.9563313;0.2806054;0.0817985;0.9563313
71315.59,GAZE,0.3658417;-0.325801;1.210904;2.558415;0.8292568;0.4425728;2.868661;0.0199485;0.5385297;2.868418;-0.008197866;0.2807225;0.08129679;0.9563398;0.2807225;0.08129679;0.9563398
71329.25,GAZE,0.3659314;-0.3260336;1.21099;2.558183;0.8292289;0.4427043;2.868583;0.0200589;0.5386438;2.868346;-0.008146755;0.281323;0.08059352;0.9562228;0.281323;0.08059352;0.9562228
71343.37,GAZE,0.3650579;-0.3264613;1.210182;2.557754;0.8295589;0.4428183;2.868505;0.02014433;0.5387487;2.86827;-0.008092135;0.281645;0.07979488;0.956195;0.281645;0.07979488;0.956195
71356.94,GAZE,0.3652018;-0.3264515;1.210316;2.557764;0.8295059;0.4429118;2.868434;0.0202269;0.5388228;2.868114;-0.008074731;0.2823832;0.07864336;0.9560727;0.2823832;0.07864336;0.9560727
71371,GAZE,0.3663841;-0.3274162;1.211426;2.556802;0.8290927;0.4430076;2.86834;0.02027511;0.5389152;2.868014;-0.008037947;0.2825188;0.07770685;0.9561092;0.2825188;0.07770685;0.9561092
71384.88,GAZE,0.3651702;-0.3276157;1.210299;2.5566;0.8295429;0.4430992;2.868212;0.02031864;0.539001;2.867895;-0.008013979;0.2827262;0.07669479;0.9561296;0.2827262;0.07669479;0.9561296
71399.04,GAZE,0.3663145;-0.328469;1.211372;2.555749;0.8291411;0.4432048;2.868052;0.02037863;0.5390984;2.867752;-0.007981911;0.2830046;0.07600061;0.9561027;0.2830046;0.07600061;0.9561027
71413.07,GAZE,0.3662097;-0.3287569;1.211277;2.555461;0.8291858;0.4432877;2.867944;0.02043536;0.5391792;2.867674;-0.007932782;0.2830651;0.07566344;0.9561115;0.2830651;0.07566344;0.9561115
71426.92,GAZE,0.3666939;-0.3287072;1.211727;2.555511;0.829007;0.4433919;2.867919;0.02049172;0.5392761;2.86765;-0.0079014;0.2833162;0.07555629;0.9560456;0.2833162;0.07555629;0.9560456
71440.62,GAZE,0.3661602;-0.3282543;1.211226;2.555963;0.8291932;0.4434968;2.867889;0.02053549;0.5393797;2.86764;-0.007862009;0.2833419;0.07566723;0.9560292;0.2833419;0.07566723;0.9560292
71454.28,GAZE,0.3664264;-0.3286285;1.211478;2.55559;0.8291035;0.4435923;2.867942;0.02061084;0.5394613;2.867622;-0.007832766;0.2838575;0.07549662;0.9558898;0.2838575;0.07549662;0.9558898
71468.23,GAZE,0.3658049;-0.3288812;1.210902;2.555336;0.8293371;0.4436861;2.867981;0.0206584;0.5395546;2.86763;-0.007786497;0.2838962;0.07533757;0.9558908;0.2838962;0.07533757;0.9558908
71482.32,GAZE,0.3647235;-0.328297;1.20989;2.555918;0.8297217;0.4437614;2.868077;0.02072515;0.5396156;2.867638;-0.007766403;0.2844257;0.07533984;0.9557332;0.2844257;0.07533984;0.9557332
71496.18,GAZE,0.364406;-0.327671;1.209588;2.556544;0.8298246;0.4438517;2.868109;0.02076672;0.5397036;2.867648;-0.007732332;0.2845143;0.07549457;0.9556946;0.2845143;0.07549457;0.9556946
71510.47,GAZE,0.3649668;-0.3279319;1.210113;2.556284;0.8296244;0.4439152;2.868123;0.02075591;0.5397591;2.867622;-0.00776954;0.284819;0.0747084;0.9556656;0.284819;0.0747084;0.9556656
71524.23,GAZE,0.3656856;-0.3272903;1.210775;2.556926;0.8293464;0.4439728;2.868054;0.02075088;0.5398138;2.867526;-0.00778383;0.2849435;0.07399089;0.9556843;0.2849435;0.07399089;0.9556843
71537.56,GAZE,0.364816;-0.3266302;1.209959;2.557585;0.8296514;0.4440335;2.868009;0.02076683;0.5398668;2.867486;-0.007793777;0.2852014;0.07374888;0.9556261;0.2852014;0.07374888;0.9556261
71551.85,GAZE,0.3649125;-0.3273675;1.210056;2.556848;0.829632;0.4441066;2.868032;0.02079082;0.539922;2.867469;-0.007828832;0.2858173;0.073911;0.9554296;0.2858173;0.073911;0.9554296
71565.77,GAZE,0.3654999;-0.3269241;1.210598;2.557292;0.8294067;0.4441893;2.868077;0.0208204;0.5399861;2.867484;-0.007861063;0.2864482;0.07438704;0.9552037;0.2864482;0.07438704;0.9552037
71580.95,GAZE,0.3654298;-0.3265558;1.210529;2.55766;0.8294244;0.4442686;2.868153;0.0208438;0.5400449;2.86752;-0.007905252;0.2871447;0.07475816;0.9549655;0.2871447;0.07475816;0.9549655
71593.62,GAZE,0.3656862;-0.3257118;1.210759;2.558504;0.829312;0.4443409;2.868196;0.02085375;0.5400959;2.867535;-0.007965036;0.2878564;0.07505029;0.9547283;0.2878564;0.07505029;0.9547283
