timestamp,type,data
11241.03,TRIAL_START,luckily my wallet was found
11269.16,CTX_POS,Next;2.436151;2.805783;0.00857747;-0.09635672;0.9952411;0.01451087;-0.04212664;0.01048792;-0.9990573;0.9944551;0.09687717;-0.04091558;Current;1.415877;2.97558;0.05338121;-0.09635672;0.9952411;0.01451087;-0.04212664;0.01048792;-0.9990573;0.9944551;0.09687717;-0.04091558;Previous;0.9057398;3.060479;0.07578307;-0.09635672;0.9952411;0.01451087;-0.04212664;0.01048792;-0.9990573;0.9944551;0.09687717;-0.04091558;InactivePrevious;-8.786862;4.673549;0.5014184;-0.09635672;0.9952411;0.01451087;-0.04212664;0.01048792;-0.9990573;0.9944551;0.09687717;-0.04091558;InactiveNext;4.476698;2.46619;-0.08103037;-0.09635672;0.9952411;0.01451087;-0.04212664;0.01048792;-0.9990573;0.9944551;0.09687717;-0.04091558
11269.16,KEY_POS,Key_Q;Q;Next;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;Next;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;Next;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;Next;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;Next;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;Next;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;Next;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;Next;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;Next;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;Next;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;Next;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;Next;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;Next;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;Next;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;Next;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;Next;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;Next;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;Next;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;Next;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;Next;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;Next;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;Next;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;Next;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;Next;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;Next;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;Next;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';Next;0.03490747;0.03490747;0.1832642;-0.3665285;Key_ ; ;Next;0.1047224;0.03490747;0;-0.4188897;Key_Q;Q;Current;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;Current;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;Current;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;Current;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;Current;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;Current;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;Current;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;Current;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;Current;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;Current;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;Current;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;Current;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;Current;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;Current;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;Current;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;Current;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;Current;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;Current;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;Current;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;Current;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;Current;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;Current;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;Current;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;Current;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;Current;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;Current;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';Current;0.03490747;0.03490747;0.1832642;-0.3665285;Key_ ; ;Current;0.1047224;0.03490747;0;-0.4188897;Key_Q;Q;Previous;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;Previous;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;Previous;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;Previous;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;Previous;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;Previous;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;Previous;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;Previous;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;Previous;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;Previous;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;Previous;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;Previous;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;Previous;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;Previous;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;Previous;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;Previous;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;Previous;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;Previous;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;Previous;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;Previous;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;Previous;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;Previous;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;Previous;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;Previous;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;Previous;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;Previous;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';Previous;0.03490747;0.03490747;0.1832642;-0.3665285;Key_ ; ;Previous;0.1047224;0.03490747;0;-0.4188897;Key_Q;Q;InactivePrevious;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;InactivePrevious;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;InactivePrevious;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;InactivePrevious;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;InactivePrevious;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;InactivePrevious;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;InactivePrevious;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;InactivePrevious;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;InactivePrevious;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;InactivePrevious;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;InactivePrevious;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;InactivePrevious;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;InactivePrevious;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;InactivePrevious;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;InactivePrevious;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;InactivePrevious;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;InactivePrevious;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;InactivePrevious;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;InactivePrevious;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;InactivePrevious;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;InactivePrevious;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;InactivePrevious;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;InactivePrevious;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;InactivePrevious;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;InactivePrevious;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;InactivePrevious;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';InactivePrevious;0.03490747;0.03490747;0.1832642;-0.3665285;Key_ ; ;InactivePrevious;0.1047224;0.03490747;0;-0.4188897;Key_Q;Q;InactiveNext;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;InactiveNext;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;InactiveNext;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;InactiveNext;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;InactiveNext;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;InactiveNext;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;InactiveNext;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;InactiveNext;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;InactiveNext;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;InactiveNext;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;InactiveNext;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;InactiveNext;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;InactiveNext;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;InactiveNext;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;InactiveNext;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;InactiveNext;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;InactiveNext;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;InactiveNext;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;InactiveNext;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;InactiveNext;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;InactiveNext;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;InactiveNext;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;InactiveNext;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;InactiveNext;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;InactiveNext;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;InactiveNext;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';InactiveNext;0.03490747;0.03490747;0.1832642;-0.3665285;Key_ ; ;InactiveNext;0.1047224;0.03490747;0;-0.4188897;textField;---;Current;1;1;0;-0.03490747;textReference;---;Reference;1;1;0;0.01745374
11283.55,GAZE,0.01407756;-0.4392979;1.457613;2.538521;0.03294235;0.4161979;2.879063;0.1469765;0.4151738;2.87875;0.04698218;0.9974295;0.07088989;-0.01043679;0.9974295;0.07088989;-0.01043679
11300.63,GAZE,0.01418817;-0.4390111;1.457581;2.538807;0.03283599;0.415938;2.879204;0.1471291;0.4150043;2.878937;0.0471338;0.9973037;0.07276735;-0.009507717;0.9973037;0.07276735;-0.009507717
11310.5,GAZE,0.01512706;-0.4397126;1.457609;2.538119;0.0318878;0.415706;2.879369;0.1473022;0.4148533;2.879117;0.0473061;0.9971421;0.07504737;-0.008691723;0.9971421;0.07504737;-0.008691723
11324.93,GAZE,0.01487283;-0.4398313;1.457631;2.537998;0.03214007;0.4154834;2.879508;0.1474072;0.4147074;2.879329;0.04741033;0.9970227;0.07670522;-0.007873799;0.9970227;0.07670522;-0.007873799
11338.88,GAZE,0.0152065;-0.4398718;1.457621;2.537961;0.03180612;0.4153043;2.879634;0.14754;0.4145705;2.879474;0.04754281;0.9969239;0.07802157;-0.007441042;0.9969239;0.07802157;-0.007441042
11352.96,GAZE,0.0150997;-0.4402283;1.45766;2.537605;0.03190764;0.4151326;2.879713;0.1475775;0.4144286;2.879604;0.04758004;0.9968701;0.07873717;-0.007104183;0.9968701;0.07873717;-0.007104183
11376.13,GAZE,0.01517861;-0.4397735;1.457612;2.538059;0.03183541;0.4149494;2.879916;0.1476963;0.41425;2.879864;0.04769871;0.9969029;0.07832919;-0.007012622;0.9969029;0.07832919;-0.007012622
11380.99,GAZE,0.01475846;-0.4395516;1.457609;2.538275;0.03225838;0.4147686;2.880011;0.1477902;0.4140883;2.879988;0.04779256;0.9968385;0.0791627;-0.006799278;0.9968385;0.0791627;-0.006799278
11393.47,GAZE,0.01519817;-0.439382;1.457574;2.538449;0.03182156;0.4146324;2.879928;0.1478191;0.4139432;2.879962;0.04782148;0.9968573;0.07892157;-0.006843203;0.9968573;0.07892157;-0.006843203
11407.66,GAZE,0.01610072;-0.4399406;1.45759;2.537902;0.03091174;0.4145166;2.879838;0.1478308;0.4137981;2.879901;0.04783338;0.9969051;0.07829054;-0.00711496;0.9969051;0.07829054;-0.00711496
11421.15,GAZE,0.01535494;-0.4407944;1.457703;2.537045;0.03164445;0.4144344;2.879765;0.1478286;0.4136786;2.879876;0.04783151;0.9969274;0.07797652;-0.007448855;0.9969274;0.07797652;-0.007448855
11435.42,GAZE,0.01463851;-0.4408286;1.457737;2.537003;0.0323597;0.4144153;2.879708;0.1477786;0.4135937;2.879859;0.04778204;0.9969431;0.07771428;-0.008073086;0.9969431;0.07771428;-0.008073086
11449.23,GAZE,0.01428773;-0.4401215;1.457683;2.537703;0.0327204;0.4143931;2.879681;0.1477295;0.4135407;2.879873;0.04773331;0.9969516;0.07757618;-0.008349446;0.9969516;0.07757618;-0.008349446
11463.16,GAZE,0.01474415;-0.440576;1.457708;2.537256;0.03225782;0.414398;2.87968;0.1476821;0.4134664;2.8799;0.04768672;0.996953;0.07746994;-0.009117451;0.996953;0.07746994;-0.009117451
11477.48,GAZE,0.01517941;-0.4395536;1.457591;2.538278;0.03183781;0.4144202;2.879639;0.1476181;0.4134326;2.879897;0.04762328;0.9969347;0.07764161;-0.009646025;0.9969347;0.07764161;-0.009646025
11491.4,GAZE,0.01572993;-0.4391742;1.457531;2.538661;0.03129331;0.4144525;2.879626;0.1475616;0.4133927;2.879866;0.04756746;0.996933;0.07756871;-0.01038032;0.996933;0.07756871;-0.01038032
11505.43,GAZE,0.01503523;-0.4385277;1.457499;2.539297;0.03199672;0.4145081;2.879642;0.1474979;0.413402;2.879867;0.04750428;0.9969099;0.07780227;-0.01085167;0.9969099;0.07780227;-0.01085167
11518.38,GAZE,0.01578588;-0.4378771;1.457404;2.539953;0.03125623;0.4145809;2.87965;0.1474473;0.4133995;2.879865;0.04745445;0.9969016;0.07779963;-0.01161101;0.9969016;0.07779963;-0.01161101
11533.16,GAZE,0.01613288;-0.4365129;1.457258;2.541314;0.03092936;0.4146758;2.879615;0.1474017;0.4134449;2.879787;0.04740942;0.9969108;0.07759854;-0.0121384;0.9969108;0.07759854;-0.0121384
11546.79,GAZE,0.01672618;-0.435884;1.457173;2.541946;0.03034575;0.4147479;2.879536;0.1473631;0.4134627;2.879688;0.04737145;0.9969577;0.07690312;-0.01269773;0.9969577;0.07690312;-0.01269773
11560.79,GAZE,0.01646981;-0.4355294;1.457149;2.542296;0.03060702;0.4148138;2.879472;0.1473157;0.4134708;2.879611;0.0473248;0.9970323;0.07582852;-0.01328549;0.9970323;0.07582852;-0.01328549
11575.46,GAZE,0.01730421;-0.4352059;1.457083;2.542627;0.02977809;0.4148709;2.87937;0.1472505;0.4134965;2.87955;0.04726014;0.9970972;0.07492051;-0.0135706;0.9970972;0.07492051;-0.0135706
11589.01,GAZE,0.01815036;-0.4347056;1.456999;2.543134;0.02894001;0.4149813;2.879343;0.1471553;0.4135531;2.879543;0.04716574;0.9971326;0.07434991;-0.0140944;0.9971326;0.07434991;-0.0140944
11603.15,GAZE,0.01907482;-0.4338036;1.456873;2.544041;0.0280295;0.4150902;2.879293;0.1470596;0.4136189;2.879546;0.04707074;0.997164;0.07385351;-0.01448655;0.997164;0.07385351;-0.01448655
11616.95,GAZE,0.01823137;-0.4325763;1.45679;2.545254;0.02888996;0.4152012;2.879272;0.1469897;0.4136844;2.87949;0.04700143;0.9971848;0.07347725;-0.01496706;0.9971848;0.07347725;-0.01496706
11630.54,GAZE,0.0172794;-0.4317668;1.456752;2.546049;0.02985279;0.4153134;2.879235;0.1469305;0.4137858;2.879457;0.04694241;0.997188;0.07340962;-0.015072;0.997188;0.07340962;-0.015072
11644.48,GAZE,0.01653875;-0.4309146;1.456702;2.54689;0.03060511;0.4154402;2.87922;0.1468883;0.4138637;2.879434;0.04690094;0.9971974;0.07317787;-0.0155658;0.9971974;0.07317787;-0.0155658
11658.69,GAZE,0.01564838;-0.4312729;1.456774;2.546524;0.03148943;0.4155378;2.879196;0.1468414;0.4139631;2.879436;0.04685408;0.997227;0.07278111;-0.01553059;0.997227;0.07278111;-0.01553059
11672.65,GAZE,0.01487851;-0.4303993;1.456722;2.547385;0.03227125;0.4156415;2.879163;0.1468035;0.4140291;2.879381;0.04681674;0.9972692;0.07211567;-0.01592572;0.9972692;0.07211567;-0.01592572
11686.94,GAZE,0.01533352;-0.4304508;1.456707;2.547339;0.03181594;0.4157284;2.879084;0.146768;0.4141174;2.879315;0.04678126;0.9973195;0.07142027;-0.0159037;0.9973195;0.07142027;-0.0159037
11700.3,GAZE,0.01577816;-0.4303316;1.456678;2.547462;0.03137343;0.4158288;2.879025;0.1467363;0.414213;2.879264;0.04674964;0.9973407;0.07111468;-0.0159474;0.9973407;0.07111468;-0.0159474
11714.24,GAZE,0.01516709;-0.4293394;1.456607;2.548443;0.03199833;0.4159268;2.878926;0.1467332;0.4142978;2.879203;0.04674685;0.9973682;0.07070328;-0.01605241;0.9973682;0.07070328;-0.01605241
11728.51,GAZE,0.0148196;-0.4288401;1.456574;2.548936;0.03235274;0.4159912;2.878732;0.1467776;0.4143611;2.879019;0.04679129;0.9974143;0.07004921;-0.01606056;0.9974143;0.07004921;-0.01606056
11742.3,GAZE,0.01550105;-0.4288085;1.456542;2.548975;0.03167238;0.4160613;2.878558;0.1468267;0.4144156;2.878844;0.04684066;0.9974594;0.06936592;-0.01621961;0.9974594;0.06936592;-0.01621961
11756.17,GAZE,0.01511487;-0.4277858;1.45646;2.549989;0.03207304;0.416126;2.878485;0.1467997;0.4144973;2.878812;0.04681354;0.9975023;0.06879261;-0.01602268;0.9975023;0.06879261;-0.01602268
11769.47,GAZE,0.01596997;-0.4275677;1.456403;2.550215;0.03122191;0.4162034;2.878477;0.1467483;0.4145825;2.878835;0.04676208;0.9975284;0.06843536;-0.01592659;0.9975284;0.06843536;-0.01592659
11783.23,GAZE,0.01663907;-0.4274993;1.456368;2.55029;0.03055444;0.4162591;2.878451;0.1467298;0.4146762;2.878853;0.04674312;0.9975493;0.06822535;-0.01551756;0.9975493;0.06822535;-0.01551756
11797.71,GAZE,0.01620567;-0.4282524;1.456459;2.549536;0.0309765;0.4163333;2.878415;0.1467547;0.4147429;2.87878;0.04676801;0.9975662;0.06795429;-0.01561855;0.9975662;0.06795429;-0.01561855
11811.19,GAZE,0.01600881;-0.428574;1.456498;2.549214;0.03116851;0.4163857;2.878352;0.1467883;0.4148034;2.878702;0.04680138;0.9976003;0.06746717;-0.0155515;0.9976003;0.06746717;-0.0155515
11825.61,GAZE,0.01528565;-0.4287818;1.456549;2.548999;0.03188797;0.4164125;2.878295;0.14684;0.414845;2.878625;0.04685283;0.9976258;0.0671216;-0.01541875;0.9976258;0.0671216;-0.01541875
11839.47,GAZE,0.01476927;-0.4291563;1.456607;2.548621;0.03239843;0.41642;2.878215;0.1469038;0.4148694;2.878584;0.04691648;0.9976248;0.06718042;-0.01522371;0.9976248;0.06718042;-0.01522371
11853.68,GAZE,0.01415472;-0.4291512;1.456632;2.54862;0.03301247;0.4164269;2.878201;0.1469292;0.4148894;2.878582;0.04694173;0.9976317;0.0671088;-0.01508482;0.9976317;0.0671088;-0.01508482
11867.74,GAZE,0.01379272;-0.4291409;1.456646;2.548626;0.03337428;0.4164522;2.878223;0.1469529;0.4149198;2.878606;0.04696532;0.9976236;0.0672425;-0.0150326;0.9976236;0.0672425;-0.0150326
11881.17,GAZE,0.01332762;-0.4283258;1.456587;2.549433;0.03385077;0.4164723;2.878259;0.1469621;0.414941;2.878656;0.04697463;0.9976014;0.06757461;-0.0150105;0.9976014;0.06757461;-0.0150105
11894.88,GAZE,0.0131419;-0.4288948;1.45665;2.548864;0.03402805;0.4165041;2.878297;0.1469592;0.4149563;2.878675;0.04697193;0.9975551;0.06821501;-0.0151842;0.9975551;0.06821501;-0.0151842
11909.37,GAZE,0.01291485;-0.4288284;1.456653;2.548928;0.03425586;0.4165284;2.878351;0.1469505;0.414971;2.878719;0.04696331;0.9975203;0.06869891;-0.01528467;0.9975203;0.06869891;-0.01528467
11923.42,GAZE,0.01277591;-0.4285359;1.456631;2.549218;0.03439891;0.4165841;2.878438;0.1469751;0.4149883;2.878778;0.04698839;0.9974488;0.06964138;-0.01568238;0.9974488;0.06964138;-0.01568238
11936.53,GAZE,0.01262617;-0.4276376;1.456551;2.55011;0.03456154;0.4166189;2.878486;0.1469973;0.4150176;2.878863;0.04701086;0.9974019;0.07030498;-0.01570887;0.9974019;0.07030498;-0.01570887
11950.53,GAZE,0.01319388;-0.4280446;1.456566;2.549711;0.03398847;0.4166724;2.87858;0.1470214;0.4150458;2.878937;0.04703523;0.9973515;0.07095625;-0.01597149;0.9973515;0.07095625;-0.01597149
11964.98,GAZE,0.01395969;-0.4280927;1.456538;2.549671;0.03322268;0.4167075;2.878668;0.1470437;0.4150772;2.879044;0.04705771;0.997299;0.07168981;-0.01599174;0.997299;0.07168981;-0.01599174
11979.36,GAZE,0.01318989;-0.4288746;1.456646;2.548885;0.03398042;0.4167797;2.878762;0.1470699;0.4151151;2.879162;0.04708451;0.997247;0.07233559;-0.01631315;0.997247;0.07233559;-0.01631315
