timestamp,type,data
2419.652,TRIAL_START,The chancellor was very boring.
2545.606,GAZE,0.02094799;-0.6364298;12.57739;10.48588;100.0454;0.4721262;2.752571;0.3758996;0.46;1.270421;0.07975578;0.2345082;0.164087;0.9581656;0;0;1
2545.606,GAZE,0.002556562;-0.6751575;11.69323;8.426098;99.89723;0.4715667;2.750604;0.3791241;0.46;1.270421;0.07975578;0.2200574;0.1257452;0.9673484;0;0;1
2697.711,GAZE,0.01384116;-0.7093951;12.09837;6.779131;99.51784;0.4808549;2.74446;0.3792292;0.46;1.270421;0.07975578;0.2298867;0.09433727;0.9686344;0;0;1
2824.173,GAZE,0.02212464;-0.7054697;12.46812;6.977497;99.38147;0.4823959;2.745288;0.3766746;0.46;1.270421;0.07975578;0.2374479;0.09836119;0.9664075;0;0;1
2962.989,GAZE,-0.0002094433;-0.6900229;11.36339;7.669746;99.46568;0.4778638;2.747994;0.3771493;0.46;1.270421;0.07975578;0.2163563;0.1124143;0.9698211;0;0;1
3101.552,GAZE,0.001829088;-0.6942006;11.46238;7.472035;99.44141;0.4785693;2.747274;0.3773798;0.46;1.270421;0.07975578;0.2188639;0.1087678;0.9696742;0;0;1
3241.477,GAZE,0.007194981;-0.704051;11.72521;7.027021;99.4388;0.4804937;2.744925;0.3779484;0.46;1.270421;0.07975578;0.2242581;0.1000119;0.9693843;0;0;1
3407.957,GAZE,0.009066649;-0.7047366;11.82729;6.987185;99.42473;0.4802938;2.745164;0.3767823;0.46;1.270421;0.07975578;0.2262298;0.09918754;0.9690108;0;0;1
3548.201,GAZE,0.01478998;-0.7124404;12.11168;6.639468;99.41792;0.4818724;2.743436;0.3769894;0.46;1.270421;0.07975578;0.2318565;0.09226936;0.9683641;0;0;1
3714.948,GAZE,0.01698207;-0.7129336;12.21813;6.620567;99.40382;0.4822342;2.743339;0.3766241;0.46;1.270421;0.07975578;0.2338927;0.09186234;0.967913;0;0;1
3881.676,GAZE,0.02549269;-0.7187664;12.65359;6.352716;99.34164;0.4831786;2.742471;0.3756526;0.46;1.270421;0.07975578;0.2422651;0.0864349;0.9663522;0;0;1
4020.769,GAZE,0.03736775;-0.7273748;13.24908;5.976959;99.31115;0.4853285;2.740501;0.374764;0.46;1.270421;0.07975578;0.2535245;0.07880709;0.9641135;0;0;1
4394.333,GAZE,-2.976811;-1.362477;0.4650725;2.000982;0.2286989;0.4898572;2.735678;0.3735169;0.46;1.270421;0.07975578;0.2797782;0.05869573;0.9582687;0;0;1
4394.333,GAZE,-2.541741;-1.258233;0.4655588;2.00087;0.2287517;0.4907363;2.735163;0.3731848;0.46;1.270421;0.07975578;0.2858834;0.05599358;0.9566271;0;0;1
4394.333,GAZE,-8.993078;-1.701815;0.4667081;2.000746;0.2263569;0.4947681;2.733998;0.3702404;0.46;1.270421;0.07975578;0.3264923;0.0447685;0.9441391;0;0;1
4394.333,GAZE,-11.82055;-1.63965;0.4673921;2.00084;0.2251837;0.4971664;2.733714;0.3679498;0.46;1.270421;0.07975578;0.3538666;0.03880781;0.9344904;0;0;1
4394.333,GAZE,-24.71647;-1.843738;0.4682156;2.000968;0.2236058;0.4999062;2.733498;0.3650181;0.46;1.270421;0.07975578;0.3851895;0.03251233;0.9222646;0;0;1
4966.66,GAZE,-15.58394;-1.25206;0.4685904;2.001854;0.224608;0.4927485;2.734361;0.367691;0.46;1.270421;0.07975578;0.3727211;0.02572267;0.9275868;0;0;1
4966.66,GAZE,-5.744083;-1.036882;0.4681482;2.001924;0.2253103;0.4914737;2.734513;0.3685099;0.46;1.270421;0.07975578;0.3670658;0.0262481;0.9298246;0;0;1
4966.66,GAZE,-2.945911;-0.9683182;0.4677691;2.001917;0.226184;0.4902879;2.734488;0.3693838;0.46;1.270421;0.07975578;0.3611282;0.02630277;0.9321452;0;0;1
4966.66,GAZE,-7.311409;-1.10001;0.467115;2.001857;0.2260824;0.4889964;2.734396;0.3703321;0.46;1.270421;0.07975578;0.3541891;0.02642951;0.9348003;0;0;1
4966.66,GAZE,-1.861211;-0.9441425;0.4667506;2.001786;0.2276549;0.4876201;2.73422;0.3713647;0.46;1.270421;0.07975578;0.3467402;0.02626272;0.9375935;0;0;1
4966.66,GAZE,-0.7832972;-0.9110609;0.4664054;2.001701;0.2301867;0.4860327;2.733967;0.3725577;0.46;1.270421;0.07975578;0.3386135;0.02524195;0.9405869;0;0;1
