timestamp,type,data
8472.497,TRIAL_START,Traveling to conferences is fun.
8611.357,GAZE,-0.2084919;-1.593627
8631.528,GAZE,-0.2084919;-1.593627
8639.005,GAZE,-0.2084919;-1.593627
8652.697,GAZE,-0.2084919;-1.593627
8667.25,GAZE,-0.2084919;-1.593627
8680.623,GAZE,-0.2084919;-1.593627
8694.773,GAZE,-0.2084919;-1.593627
8723.772,GAZE,-0.2648904;-1.642573
8737.791,GAZE,-0.2643345;-1.64473
8751.198,GAZE,-0.2647376;-1.646865
8769.186,GAZE,-0.2699104;-1.650305
8778.984,GAZE,-0.2761084;-1.651505
8793.059,GAZE,-0.2799975;-1.651157
8807.062,GAZE,-0.2816246;-1.649201
8820.888,GAZE,-0.2785235;-1.647718
8835.339,GAZE,-0.2768622;-1.647219
8848.402,GAZE,-0.2765813;-1.647732
8861.252,GAZE,-0.2774833;-1.649281
8875.328,GAZE,-0.2788952;-1.652331
8889.12,GAZE,-0.282801;-1.656988
8903.418,GAZE,-0.2853299;-1.660763
8918.448,GAZE,-0.287188;-1.664063
8931.998,GAZE,-0.2877395;-1.665835
8946.072,GAZE,-0.2879727;-1.664843
8959.799,GAZE,-0.2895113;-1.66395
8973.619,GAZE,-0.2905691;-1.664252
8987.352,GAZE,-0.2916446;-1.665054
9001.687,GAZE,-0.2984259;-1.662827
9015.503,GAZE,-0.2999794;-1.664373
9029.521,GAZE,-0.300277;-1.666776
9043.218,GAZE,-0.3016968;-1.670323
9057.284,GAZE,-0.3040541;-1.673744
9070.655,GAZE,-0.3056055;-1.675399
9085.219,GAZE,-0.3063301;-1.676461
9098.485,GAZE,-0.3071508;-1.678045
9112.795,GAZE,-0.3093776;-1.681201
9126.021,GAZE,-0.3110233;-1.683746
9140.351,GAZE,-0.3113648;-1.685174
9155.047,GAZE,-0.3109603;-1.686757
9168.692,GAZE,-0.3111647;-1.688071
9182.554,GAZE,-0.3108801;-1.689256
9196.795,GAZE,-0.3101804;-1.690263
9209.865,GAZE,-0.3077866;-1.688635
9224.471,GAZE,-0.306477;-1.686399
9238.273,GAZE,-0.3056128;-1.682821
9252.081,GAZE,-0.3058395;-1.679829
9266.325,GAZE,-0.306076;-1.678744
9280.651,GAZE,-0.311682;-1.678158
9293.788,GAZE,-0.3131144;-1.680622
9307.721,GAZE,-0.31369;-1.684535
9320.993,GAZE,-0.3131394;-1.686142
9334.54,GAZE,-0.3113999;-1.687182
9349.079,GAZE,-0.3085465;-1.68859
9362.75,GAZE,-0.304209;-1.690388
9376.616,GAZE,-0.2979743;-1.6918
9391.464,GAZE,-0.2908679;-1.691392
9404.521,GAZE,-0.2890368;-1.691208
9418.202,GAZE,-0.2883898;-1.691874
9434.39,GAZE,-0.2883838;-1.693261
9447.839,GAZE,-0.2882638;-1.694301
9461.296,GAZE,-0.2872251;-1.696359
9475.219,GAZE,-0.2865009;-1.697636
9488.983,GAZE,-0.2864166;-1.697466
9503.037,GAZE,-0.286307;-1.697157
9518.608,GAZE,-0.1700365;-1.02696
9518.608,CONTEXT_CHANGE,Initial;Current
9530.5,GAZE,-0.169503;-1.028241
9544.164,GAZE,-0.1693703;-1.028173
9558.31,GAZE,-0.1692359;-1.028105
9572.579,GAZE,-0.0128308;-1.009043
9572.579,CONTEXT_CHANGE,Current;Previous
9585.571,GAZE,-0.01343122;-1.008724
9603.168,GAZE,-0.01392353;-1.008192
9612.703,GAZE,-0.01401457;-1.007973
9627.299,GAZE,-0.01404408;-1.007781
9640.583,GAZE,-0.01413504;-1.007698
9654.745,GAZE,-0.01429231;-1.007708
9669.631,GAZE,-0.01455098;-1.00777
9685.001,GAZE,-0.01486538;-1.007895
9699.763,GAZE,-0.01540896;-1.008258
